"","SUBJECT","ACTIVITY","MEAN_MEASUREMENT"
"112",22,"SITTING",3929.3064516129
"113",23,"SITTING",3517.48529411765
"114",24,"SITTING",1391.07352941176
"115",25,"SITTING",3867.98461538462
"116",26,"SITTING",3745.89743589744
"117",27,"SITTING",3613.38571428571
"118",28,"SITTING",3667.05555555556
"119",29,"SITTING",3744.18333333333
"120",30,"SITTING",3991.95161290323
"121",1,"STANDING",3869.09615384615
"122",2,"STANDING",1536.20754716981
"123",3,"STANDING",3721.26229508197
"124",4,"STANDING",1575.71428571429
"125",5,"STANDING",3910.01785714286
"126",6,"STANDING",3561.9649122807
"127",7,"STANDING",3982.62264150943
"128",8,"STANDING",3930.61111111111
"129",9,"STANDING",1624.33333333333
"130",10,"STANDING",1539.38636363636
"131",11,"STANDING",3759.57446808511
"132",12,"STANDING",1500.32786885246
"133",13,"STANDING",1463.91228070175
"134",14,"STANDING",3689.25
"135",15,"STANDING",3752.92452830189
"136",16,"STANDING",3782.38461538462
"137",17,"STANDING",3517.58974358974
"138",18,"STANDING",1593.1095890411
"139",19,"STANDING",3769.41095890411
"140",20,"STANDING",1529.84931506849
"141",21,"STANDING",3732.85393258427
"142",22,"STANDING",3878.44444444444
"143",23,"STANDING",3688.58823529412
"144",24,"STANDING",1607.24637681159
"145",25,"STANDING",3838.68918918919
"146",26,"STANDING",4019.5
"147",27,"STANDING",3808.5375
"148",28,"STANDING",3782.17721518987
"149",29,"STANDING",3778.32307692308
"150",30,"STANDING",3678.72881355932
"151",1,"LAYING",3594.44
"152",2,"LAYING",1675.875
"153",3,"LAYING",3385.08064516129
"154",4,"LAYING",1607.59259259259
"155",5,"LAYING",3738.69230769231
"156",6,"LAYING",3602.89473684211
"157",7,"LAYING",3263.44230769231
"158",8,"LAYING",3384.96296296296
"159",9,"LAYING",1494.26
"160",10,"LAYING",1467.86206896552
"161",11,"LAYING",3811.78947368421
"162",12,"LAYING",1396.83333333333
"163",13,"LAYING",1331.67741935484
"164",14,"LAYING",4192
"165",15,"LAYING",3654.70833333333
"166",16,"LAYING",3724.48571428571
"167",17,"LAYING",3505.95774647887
"168",18,"LAYING",1465.50769230769
"169",19,"LAYING",3222.18072289157
"170",20,"LAYING",1009.16176470588
"171",21,"LAYING",3476.65555555556
"172",22,"LAYING",3746.94444444444
"173",23,"LAYING",3904.40277777778
"174",24,"LAYING",1463.91666666667
"175",25,"LAYING",3297.94520547945
"176",26,"LAYING",3792.5
"177",27,"LAYING",3195.48648648649
"178",28,"LAYING",3668.6
"179",29,"LAYING",4003.75362318841
"180",30,"LAYING",4144.04285714286
